Row Labels,Max of Federal Loan 3-Year Default Rate,Max of 2012 4-Year Grad Rate,Max of % Pell Recipients Among Freshmen,Max of Estimated Median SAT / ACT,Max of Average Student Loan (all sources),Max of Average Net Price After Grants,"Max of % Degrees Awarded in Science, Technology, Engineering, and Math",Max of % Admitted,Max of Average High School GPA Among College Freshmen
Chancellor University,0.175,0.015,1,0,6560,14991,0.063,1,0
University of Phoenix-Wichita Campus,0.26,0.015,0.846,0,8269,19278,0.125,1,0
Baker College of Flint,0.191,0.016,0.799,0,5249,11316,0.115,1,0
University of Phoenix-Southern California Campus,0.26,0.016,0.858,0,8332,19922,0.002,1,0
University of Phoenix-Hawaii Campus,0.26,0.017,0.791,0,8848,20056,0.195,1,0
University of Phoenix-Albuquerque Campus,0.26,0.02,0.934,0,8293,17681,0.053,1,0
University of Phoenix-Jersey City Campus,0.26,0.02,0.7,0,8176,18643,0.053,1,0
ITT Technical Institute-Norfolk,0.292,0.02,0.763,0,8322,23234,0.212,0.666,0
Macon State College,0,0.022,0.537,940,5725,5208,0.15,0.753,0
University of Maryland-University College,0.106,0.022,0.61,0,7475,10913,0.213,1,0
Concordia College Alabama,0.33,0.022,0.868,0,2427,12540,0,1,0
ITT Technical Institute-Knoxville,0.292,0.024,0.824,0,7328,21508,0.177,0.817,0
Louisiana State University-Alexandria,0.153,0.027,0.548,970,4596,7168,0.067,0.61,0
The Art Institute of Pittsburgh-Online Division,0.254,0.027,0.775,0,7481,29568,0.157,0.753,0
Academy of Art University,0.154,0.033,0.362,0,7181,28346,0.052,1,0
Talmudical Seminary Oholei Torah,0,0.035,0.96,0,0,13363,0,1,0
Baker College of Muskegon,0.191,0.036,0.724,0,5628,12234,0.136,1,0
National American University-Independence,0.246,0.036,0.944,0,6743,20060,0.111,1,0
Gods Bible School and College,0.125,0.038,0.586,0,4104,10369,0,1,0
Bacone College,0.32,0.038,0.755,870,6584,16944,0,0.524,0
Pontifical Catholic University of Puerto Rico-Arecibo,0.286,0.039,0.939,0,2704,4097,0.056,0.373,0
CUNY York College,0.106,0.04,0.739,903,3701,5126,0.083,0.398,0
University of Phoenix-Fairfield County Campus,0.26,0.042,0.8,0,7000,17074,0,1,0
University of Phoenix-Omaha Campus,0.26,0.042,1,0,8558,17658,0,1,0
University of Phoenix-Northern Nevada Campus,0.26,0.043,0.733,0,8464,19084,0,1,0
Institute of American Indian and Alaska Native Culture,0.272,0.043,0.759,0,0,9919,0,1,0
Rabbinical College Telshe,0,0.045,0.6,0,0,7542,0,1,0
Chicago State University,0.137,0.045,0.901,850,5944,12355,0.089,0.432,0
Hillsdale Free Will Baptist College,0.203,0.045,0.536,930,6038,14190,0,0.889,0
ITT Technical Institute-Fort Wayne,0.292,0.045,0.609,0,6784,22688,0.673,0.614,0
Ohio University-Chillicothe Campus,0.138,0.048,0.662,0,5008,9232,0,1,0
University of Maine at Augusta,0.198,0.048,0.78,0,5669,7832,0.138,1,0
Ohio University-Southern Campus,0.138,0.05,0.66,0,5500,9495,0,1,0
Salish Kootenai College,0.173,0.05,0.802,0,1270,8591,0.111,1,0
CUNY New York City College of Technology,0.136,0.051,0.769,924,3983,5751,0.22,0.772,0
CUNY Medgar Evers College,0.148,0.051,0.823,0,3587,7763,0.12,0.928,0
University of Puerto Rico-Mayaguez,0.13,0.052,0.675,1215,4355,7936,0.597,0.657,0
Newschool of Architecture and Design,0.078,0.053,0.5,0,5222,33453,0,0.9,0
South University-Columbia,0.23,0.053,0.615,0,9383,25693,0.058,0.385,0
The National Hispanic University,0.145,0.054,0.7,0,4816,14043,0,0.986,0
ITT Technical Institute-Greenfield,0.292,0.054,0.75,0,8217,22388,0.394,0.814,0
National University College-Bayamon,0.198,0.055,0.979,0,2775,8097,0.076,0.922,0
University of Puerto Rico-Aguadilla,0.13,0.057,0.887,1002,2785,1362,0.292,0.544,0
Selma University,0.142,0.058,0.889,0,2775,7460,0,1,0
ITT Technical Institute-Portland,0.292,0.059,0.625,0,9944,21951,0.548,0.474,0
American University of Puerto Rico,0.312,0.043,0.808,0,2266,10210,0.059,1,0
Augusta State University,0,0.06,0.43,980,5137,9265,0.114,0.617,0
Ohio University-Lancaster Campus,0.138,0.06,0.55,0,5165,8564,0,1,0
University of Puerto Rico-Arecibo,0.13,0.061,0.881,0,4052,5524,0.176,0.442,0
University of Phoenix-Louisville Campus,0.26,0.063,0.762,0,7149,18460,0,1,0
Hebrew Theological College,0.058,0.064,0.625,1025,2875,29333,0,0.973,0
University of Arkansas at Little Rock,0.156,0.066,0.548,1030,4559,9872,0.164,0.962,0
Dewey University,0,0.067,0.931,0,0,4518,0,1,0
Kaplan University-Davenport Campus,0.262,0.069,0.909,0,8431,13963,0.086,1,0
New Jersey City University,0.081,0.07,0.714,888,5292,9415,0.091,0.454,0
Baker College of Clinton Township,0.191,0.071,0.824,0,5393,11610,0.093,1,0
ITT Technical Institute-Orange,0.292,0.071,0.779,0,9873,21668,0.532,0.809,0
Gallaudet University,0.08,0.072,0.473,865,5202,11876,0.076,0.688,0
Our Lady of Holy Cross College,0.058,0.074,0.4,0,5482,16264,0.067,0.629,0
Cox College,0.114,0.074,0.769,0,6785,19879,0,0.886,0
University of Wisconsin-Parkside,0.144,0.074,0.457,970,5531,10925,0.124,0.827,0
CUNY City College,0.083,0.075,0.622,1065,4610,6170,0.236,0.299,0
Inter American University of Puerto Rico-Arecibo,0.289,0.075,0.954,0,3395,7281,0.144,0.475,0
Bayamon Central University,0.196,0.079,0.92,0,3368,6413,0.066,0.473,0
University of Arkansas at Pine Bluff,0.292,0.08,0.812,845,5725,8823,0.191,0.294,0
Salem International University,0.217,0.081,0.685,0,8273,18030,0.075,1,0
Franklin University,0.118,0.082,0.698,0,6565,21931,0.084,1,0
Miami University-Hamilton,0.111,0.083,0.554,0,5408,12415,0,1,0
Miami University-Middletown,0.111,0.083,0.638,0,5404,12936,0,1,0
National American University-Sioux Falls,0.246,0.083,0.815,0,7017,19829,0.036,1,0
Expression College for Digital Arts,0.142,0.086,0.459,0,16119,24271,0.122,0.96,0
Fountainhead College of Technology,0.256,0.086,0.579,0,8963,27703,1,1,0
Colorado Technical University-Online,0.228,0.089,0.797,0,804,19506,0.075,1,0
The University of Texas at San Antonio,0.11,0.09,0.439,1030,5883,11828,0.178,0.832,0
Hesser College,0.202,0.09,0.62,0,6684,16012,0,1,0
ITT Technical Institute-Indianapolis,0.292,0.09,0.806,0,6524,22933,0.375,0.894,0
Divine Word College,0.125,0.091,0.417,0,3300,5881,0,0.923,0
ITT Technical Institute-Henderson,0.292,0.091,0.672,0,8971,23059,0.364,0.656,0
ITT Technical Institute-Green Bay,0.292,0.092,0.763,0,7285,22291,0.261,0.804,0
University of Alaska Anchorage,0.123,0.093,0.372,0,5542,8943,0.138,1,0
Columbia College Hollywood,0.168,0.093,0.467,0,11050,23852,0,0.636,0
Ohio Christian University,0.122,0.094,0.698,950,6817,25081,0,0.632,0
ITT Technical Institute-Torrance,0.292,0.094,0.733,0,8287,20029,0.471,0.768,0
Thomas University,0.137,0.095,0.398,0,3675,9944,0.007,1,0
Great Basin College,0.176,0.095,0.49,0,5872,9270,0.131,1,0
Shawnee State University,0.212,0.095,0.649,0,5398,14922,0.172,1,0
Inter American University of Puerto Rico-Ponce,0.289,0.095,0.966,0,1120,5160,0.12,0.459,0
ITT Technical Institute-Owings Mills,0.292,0.095,0.75,0,8002,22034,0.848,0.898,0
Inter American University of Puerto Rico-Guayama,0.289,0.096,0.963,0,3370,7159,0.262,0.777,0
Florida College,0.073,0.097,0.298,1065,6207,18539,0,0.616,0
Alabama A & M University,0.165,0.097,0.787,850,7195,11108,0.331,0.501,0
Ashford University,0.163,0.098,0.838,950,7138,17679,0.001,0.9,0
DeVry University-Indiana,0.234,0.1,0.826,0,7282,24509,0.118,0.948,0
ITT Technical Institute-Spokane Valley,0.268,0.1,0.839,0,9743,21596,0.474,0.747,0
ITT Technical Institute-Kennesaw,0.292,0.1,0.827,0,9037,22713,0.483,0.807,0
Allen University,0.353,0.1,0.911,0,8516,12785,0.127,1,0
University of Maine at Machias,0.17,0.101,0.615,925,5194,9432,0.152,0.785,0
Ohio University-Zanesville Campus,0.138,0.106,0.649,0,4451,7406,0,1,0
ITT Technical Institute-Nashville,0.292,0.107,0.803,0,8660,22563,0.455,0.848,0
ITT Technical Institute-Oklahoma City,0.292,0.107,0.771,0,8245,22535,0.375,0.725,0
Saint Pauls College,0,0.109,0.789,715,6519,15779,0.088,1,0
Lamar University,0.186,0.109,0.559,950,6522,16349,0.13,0.455,0
Missouri Western State University,0.22,0.109,0.543,0,5964,9059,0.173,1,0
International Academy of Design and Technology-Troy,0.268,0.109,0.695,0,8245,15547,0,1,0
ITT Technical Institute-Arnold,0.292,0.111,0.63,0,9491,22225,0.512,0.857,0
Bluefield State College,0.235,0.114,0.72,930,5046,12389,0.234,0.686,0
Colorado Technical University-Sioux Falls,0.228,0.115,0.82,0,7868,19776,0.122,1,0
Metropolitan State University,0.091,0.116,0.784,0,5444,14641,0.073,0.967,0
West Virginia University at Parkersburg,0.258,0.116,0.726,0,1619,9639,0.082,1,0
The Art Institute of Indianapolis,0.262,0.116,0.583,0,7639,25891,0.235,0,0
ITT Technical Institute-Bessemer,0.292,0.116,0.82,0,6945,21892,0.483,0.775,0
Trident University International,0.05,0.118,0.415,0,8714,12494,0.133,1,0
ITT Technical Institute-Springfield,0.292,0.118,0.642,0,10229,22616,0.462,0.747,0
Colorado Technical University-Colorado Springs,0.228,0.119,0.441,0,7311,17504,0.343,1,0
Everest College Phoenix,0.193,0.12,0.846,0,10633,17634,0,1,0
Benedict College,0.329,0.12,0.851,0,9554,15392,0.196,1,0
ITT Technical Institute-Louisville,0.292,0.121,0.784,0,8191,21980,0.375,0.69,0
National University College-Arecibo,0.198,0.122,0.989,0,2810,7395,0.071,0.913,0
Design Institute of San Diego,0.141,0.125,0.417,0,5695,24777,0,1,0
Musicians Institute,0.159,0.125,0.279,1154,7903,34299,0,0.987,0
Herzing University-Atlanta,0.176,0.125,0.69,0,6044,22495,0.089,1,0
Colorado Technical University-Greenwood Village,0.228,0.125,0.556,0,7378,16824,0.281,1,0
DeVry University-Colorado,0.234,0.125,0.65,0,8257,25398,0.26,0.871,0
Westwood College-Arlington Ballston,0.247,0.125,0.612,0,18332,25927,0.133,0.544,0
Central Christian College of the Bible,0.128,0.127,0.76,0,5671,15336,0,0.555,0
Ozark Christian College,0.055,0.128,0.444,0,5010,12746,0,1,0
ITT Technical Institute-San Dimas,0.292,0.128,0.591,0,6706,23011,0.364,0.791,0
Washington Adventist University,0.12,0.129,0.579,0,11389,17691,0.063,1,0
ITT Technical Institute-Clovis,0.292,0.13,0.775,0,8878,21460,0.323,0.811,0
Messenger College,0.428,0.133,0.429,0,5000,13011,0,0.8,0
Missouri Southern State University,0.141,0.135,0.501,990,6131,8143,0.097,0.965,0
Eastern Kentucky University,0.143,0.135,0.484,970,5489,12073,0.069,0.658,0
Southwest University of Visual Arts-Albuquerque,0.239,0.135,0.7,0,6806,40496,0,1,0
Langston University,0.325,0.135,0.809,0,7706,9478,0.052,1,0
Rabbinical Seminary of America,0,0.136,0.177,0,0,9345,0,0,0
Hodges University,0.134,0.136,0.851,0,6008,18473,0.08,0.609,0
Ohio State University-Marion Campus,0.071,0.138,0.445,0,4857,12536,0,1,0
William Paterson University of New Jersey,0.096,0.14,0.42,1000,7225,12358,0.063,0.618,0
Ohio University-Eastern Campus,0.138,0.14,0.565,0,4306,7556,0,1,0
The Art Institute of Atlanta,0.235,0.14,0.786,0,7999,26731,0.158,0.432,0
California State University-Bakersfield,0.107,0.141,0.675,925,4383,6781,0.088,0.663,0
Norfolk State University,0.181,0.142,0.718,870,3793,11354,0.165,0.653,0
Ohio State University-Newark Campus,0.071,0.143,0.43,0,5283,15369,0,1,0
Rhode Island College,0.09,0.143,0.46,940,5624,8426,0.059,0.752,0
American Public University System,0.119,0.143,0.887,0,7681,8727,0.085,1,0
Baker College of Port Huron,0.191,0.143,0.765,0,4723,9953,0.197,1,0
South University-West Palm Beach,0.23,0.143,0.912,0,7235,22786,0,0.707,0
ITT Technical Institute-Cordova,0.292,0.143,0.8,0,7367,21848,0.797,0.803,0
Wilmington University,0.08,0.144,0.387,0,2995,13007,0.056,1,0
University of South Alabama,0.082,0.144,0.448,1030,7778,10108,0.191,0.873,0
CUNY Lehman College,0.092,0.144,0.72,1010,3965,4309,0.065,0.215,0
ITT Technical Institute-Sylmar,0.292,0.144,0.758,0,9453,20813,0.288,0.764,0
SUNY Empire State College,0.101,0.145,0.806,0,7171,12466,0.066,0.818,0
Hope International University,0.127,0.145,0.589,499,5900,22118,0,0.522,0
Bellevue University,0.076,0.146,0.333,0,1312,14590,0.099,1,0
Cardinal Stritch University,0.078,0.148,0.518,1010,6640,18826,0.033,0.476,0
University of South Carolina-Beaufort,0.113,0.148,0.469,930,7526,13168,0.066,0.739,0
American InterContinental University-South Florida,0.232,0.149,0.677,0,7780,16572,0.098,0.966,0
College of Visual Arts,0.033,0.15,0.523,0,9571,24499,0,1,0
Nebraska Christian College,0.106,0.15,0.6,0,5914,17230,0,1,0
Troy University,0.141,0.15,0.543,970,6816,10193,0.089,0.715,0
DeVry University-Texas,0.234,0.151,0.778,0,8115,24670,0.23,0.94,0
Wright State University-Lake Campus,0.095,0.153,0.511,0,5545,9827,0,1,0
Atlantic University College,0.189,0.153,0.949,0,3500,4080,0.944,1,0
Mt Sierra College,0.08,0.156,0.765,0,9141,19497,0.469,0.404,0
Middle Tennessee State University,0.128,0.156,0.494,1010,5148,8855,0.102,0.703,0
ITT Technical Institute-San Diego,0.292,0.156,0.597,0,9055,22369,0.6,0.815,0
Western Governors University,0.077,0.157,0.482,0,7791,12603,0.144,1,0
The Art Institute of Washington,0.235,0.158,0.635,0,7434,24983,0.186,0.488,0
ITT Technical Institute-Omaha,0.292,0.158,0.765,0,7575,23415,0.423,0.628,0
University of Houston,0.097,0.16,0.455,1110,5776,12262,0.199,0.632,0
South University-Savannah,0.23,0.16,0.857,0,6354,23080,0.146,0.75,0
ITT Technical Institute-San Bernardino,0.292,0.16,0.813,0,9287,21050,0.372,0.841,0
D'Youville College,0.123,0.161,0.435,1030,8713,18070,0.086,0.865,0
Trinity Bible College,0.166,0.161,0.63,0,8333,15605,0,1,0
Universidad Adventista de las Antillas,0.243,0.161,0.863,0,2948,7255,0.09,0.828,0
University of West Alabama,0.118,0.163,0.605,950,5239,11837,0.191,0.676,0
Great Lakes Christian College,0.121,0.163,0.689,0,6892,16854,0,1,0
The Art Institute of Portland,0.137,0.165,0.628,0,6664,26327,0.177,0.413,0
Capitol College,0.061,0.167,0.385,1030,7839,15721,0.878,0.561,0
Midwestern Baptist Theological Seminary,0.095,0.167,0.444,1010,5274,11411,0,0.885,0
Trinity Washington University,0.142,0.167,0.755,0,6795,15980,0.065,0.505,0
South University_Savannah Online,0.23,0.167,0.671,0,5409,28705,0.049,0.678,0
ITT Technical Institute-Tampa,0.292,0.167,0.714,0,10058,23904,0.655,0.658,0
North Central University,0.056,0.168,0.508,1030,7319,19863,0.01,0.711,0
Fort Hays State University,0.077,0.168,0.431,1010,5195,11084,0.068,0.678,0
The University of Texas at Arlington,0.11,0.172,0.461,1070,5552,10079,0.134,0.69,0
Ohio State University-Mansfield Campus,0.071,0.173,0.408,0,5611,15635,0,1,0
Angelo State University,0.168,0.173,0.504,970,5629,12741,0.102,0.928,0
Cleary University,0.079,0.174,0.6,0,3500,14969,0.083,1,0
Baptist Bible College,0.107,0.175,0.62,0,5995,11342,0,1,0
The University of Texas of the Permian Basin,0.136,0.175,0.5,1005,4072,6290,0.141,0.789,0
Everest University-Pompano Beach,0.19,0.175,0.949,0,10229,21287,0.026,1,0
The University of Texas-Pan American,0.155,0.176,0.711,910,4043,2394,0.165,0.696,0
ITT Technical Institute-Westminster,0.292,0.176,0.667,0,8087,21546,0.818,0.685,0
Caribbean University-Vega Baja,0.299,0.176,0.991,0,2215,3555,0,1,0
The Art Institute of California-Argosy University Inland Empire,0.158,0.179,0.769,0,7823,26338,0.32,0.644,0
University of Wisconsin-Superior,0.086,0.181,0.387,1030,5780,11728,0.084,0.891,0
Peru State College,0.134,0.181,0.512,0,5228,10051,0.031,1,0
Lincoln College of New England-Southington,0.19,0.182,0.744,0,8705,25446,0,1,0
Beckfield College-Florence,0.224,0.182,0.962,0,7898,23717,0,1,0
Tarleton State University,0.118,0.183,0.256,970,4477,15464,0.107,0.628,0
Naropa University,0.064,0.184,0.417,0,7210,28179,0,0.912,0
Westwood College-Dupage,0.217,0.184,0.821,0,16031,22821,0.058,0.508,0
Westwood College-Northlake,0.225,0.185,0.849,0,15935,23469,0.247,0.617,0
Florida Christian College,0.073,0.186,0.566,1010,5721,20983,0,0.279,0
California College-San Diego,0.293,0.186,0.802,0,8009,23495,0.136,1,0
University of Wisconsin-Platteville,0.055,0.187,0.32,1050,5929,12035,0.424,0.956,0
American InterContinental University-Atlanta,0.232,0.187,0.772,0,8067,19232,0.067,0.967,0
Ohio State University-Lima Campus,0.071,0.188,0.434,0,5415,13813,0.069,1,0
Dowling College,0.086,0.188,0.449,0,6826,21506,0.07,0.815,0
Caribbean University-Bayamon,0.299,0.188,0.981,0,2872,1787,0.154,1,0
New Jersey Institute of Technology,0.049,0.189,0.365,1120,8513,13825,0.742,0.685,0
Texas A & M University-Galveston,0.059,0.189,0.17,1085,6434,10746,0.459,0.692,0
University of Maine at Presque Isle,0.18,0.192,0.552,0,5189,10359,0.037,1,0
ITT Technical Institute-Saint Rose,0.292,0.192,0.761,0,8727,22012,0.558,0.733,0
Walla Walla University,0.046,0.194,0.258,1050,7095,21911,0.204,0.89,0
The Baptist College of Florida,0.096,0.194,0.65,930,4297,9654,0,0.444,0
DeVry University-Georgia,0.234,0.194,0.883,0,7955,25794,0.262,0.889,0
Metropolitan College of New York,0.136,0.196,0.84,0,8005,20189,0,0.46,0
Tennessee Temple University,0.234,0.197,0.54,890,6529,14015,0.053,0.245,0
The Art Institute of California-Argosy University Los Angeles,0.158,0.198,0.764,0,8388,28074,0.21,0.404,0
Pine Manor College,0.315,0.199,0.851,805,6347,17291,0.215,0.964,0
National University,0.074,0.2,0.185,0,10135,19779,0.072,1,0
Union Institute & University,0.075,0.2,0.769,0,7875,21852,0,1,0
Westwood College-Atlanta Midtown,0.217,0.2,0.908,0,17118,23801,0.164,0.53,0
ITT Technical Institute-Albuquerque,0.292,0.2,0.711,0,7359,24167,0.476,0.614,0
ITT Technical Institute-Eden Prairie,0.292,0.2,0.809,0,8020,22222,0.824,0.724,0
ITT Technical Institute-Little Rock,0.292,0.2,0.75,0,8316,23701,0.529,0.776,0
DeVry College of New York,0.234,0.201,0.863,0,7223,23282,0.522,0.943,0
Boricua College,0.225,0.202,0.936,0,1819,16798,0,1,0
The Art Institute of California-Argosy University Hollywood,0.158,0.203,0.786,0,7693,27087,0.045,0.509,0
Life University,0.116,0.205,0.568,886,6248,19751,0.39,0.676,0
The Art Institute of California-Argosy University San Francisco,0.158,0.205,0.684,0,8080,27017,0.265,0.417,0
Caribbean University-Ponce,0.299,0.205,0.947,0,2874,3385,0.301,1,0
Texas A & M University-Commerce,0.128,0.207,0.55,965,5894,10299,0.067,0.44,0
Briarcliffe College,0.2,0.208,0.735,0,7290,16432,0.055,1,0
The Art Institute of Seattle,0.172,0.209,0.45,0,6757,26773,0.171,0.372,0
University of Connecticut-Stamford,0.031,0.212,0.418,1000,5131,7180,0,0.491,0
Mayville State University,0.076,0.212,0.427,0,6167,11054,0.065,1,0
Minnesota State University Moorhead,0.06,0.213,0.344,1030,8589,12679,0.099,0.628,0
International Baptist College,0,0.214,0.7,0,5027,16341,0,1,0
Boise Bible College,0.08,0.214,0.574,970,3237,17836,0,0.968,0
DeVry University-Missouri,0.234,0.214,0.741,0,7805,24207,0.512,0.881,0
International Academy of Design and Technology-Tampa,0.268,0.214,0.61,0,7460,25294,0,1,0
ITT Technical Institute-Tulsa,0.292,0.214,0.861,0,9548,23116,0.633,0.614,0
Westwood College-Los Angeles,0.226,0.215,0.706,0,14695,25392,0.278,0.474,0
ITT Technical Institute-Lathrop,0.292,0.216,0.784,0,10221,20885,0.306,0.832,0
Minnesota State University-Mankato,0.065,0.217,0.322,1030,7561,12526,0.138,0.886,0
The Art Institute of Colorado,0.185,0.217,0.498,0,8471,26262,0.155,0.513,0
University of North Texas,0.118,0.218,0.393,1095,5649,10345,0.083,0.65,0
Westwood College-Chicago Loop,0.226,0.22,0.916,0,14792,26355,0.149,0.432,0
American InterContinental University-Houston,0.232,0.22,0.636,0,8477,18396,0.051,1,0
National Louis University,0.064,0.222,0.625,785,5229,17275,0.005,0.862,0
Herzing University-Birmingham,0.176,0.222,0.769,0,7944,23203,0.083,0.979,0
ITT Technical Institute-Newburgh,0.292,0.222,0.762,0,5721,24075,0.444,0.44,0
University of Missouri-St Louis,0.103,0.223,0.421,1090,5696,14536,0.107,0.691,0
Brigham Young University-Idaho,0.024,0.225,0.292,1050,4411,10240,0.155,0.994,0
University of Connecticut-Avery Point,0.031,0.225,0.339,1000,5444,8263,0,0.625,0
University of Puerto Rico-Carolina,0.13,0.225,0.83,1055,2102,6852,0,0.926,0
The Illinois Institute of Art-Chicago,0.199,0.226,0.667,0,8351,25514,0.157,0.433,0
Southwest Minnesota State University,0.089,0.228,0.39,1010,7003,13481,0.067,0.802,0
Stevens-Henager College-Ogden,0.341,0.229,0.547,0,3800,17605,0.419,1,0
Oklahoma Panhandle State University,0.168,0.23,0.503,870,6852,6718,0.215,0.89,0
Strayer University-Maryland,0.152,0.231,0.107,0,2439,29463,0.243,1,0
Chadron State College,0.087,0.232,0.418,0,6029,9552,0.097,1,0
Stephen F Austin State University,0.172,0.233,0.496,965,6682,13097,0.06,0.627,0
Barclay College,0.176,0.235,0.65,990,4234,10780,0,1,0
Ner Israel Rabbinical College,0,0.241,0.222,0,0,11882,0,0.867,0
University of New Hampshire at Manchester,0.034,0.241,0.306,1035,6389,15704,0.331,0.691,0
Southwest University of Visual Arts-Tucson,0.239,0.241,0.733,0,4771,39557,0,1,0
West Texas A & M University,0.129,0.242,0.366,990,6207,10996,0.101,0.691,0
SUNY Maritime College,0.097,0.243,0.215,1070,7515,15101,0.444,0.673,0
Southeastern University,0.096,0.245,0.499,0,10629,19072,0.011,1,0
Brown College-Brooklyn Center,0.154,0.245,1,0,9000,19967,0,1,0
Westwood College-River Oaks,0.226,0.246,0.891,0,16184,24307,0.265,0.462,0
Brigham Young University-Hawaii,0.053,0.248,0.209,1110,4516,11189,0.072,0.289,0
South University-The Art Institute of Dallas,0.23,0.248,0.653,0,7864,26133,0.143,0.408,0
Missouri Baptist University,0.086,0.249,0.504,1010,6119,19266,0.059,0.584,0
SUNY College of Technology at Canton,0.182,0.25,0.683,0,5731,11577,0.11,0.737,0
Everest University-South Orlando,0.221,0.25,0.971,0,7967,21318,0.03,1,0
DeVry University-Illinois,0.234,0.25,0.847,0,8330,25386,0.275,0.783,0
DeVry University-Virginia,0.234,0.25,0.667,0,7785,25508,0.206,0.938,0
ITT Technical Institute-Everett,0.268,0.25,0.48,0,8445,23295,0.244,0.789,0
ITT Technical Institute-Miami,0.292,0.25,0.774,0,10057,21840,0.667,0.606,0
DeVry University-California,0.234,0.251,0.831,0,8136,23351,0.271,0.911,0
Berkeley College-Woodland Park,0.245,0.251,0.775,0,5555,21133,0,1,0
The New England Institute of Art,0.171,0.252,0.616,0,8753,28088,0.194,0.313,0
Grand Canyon University,0.195,0.254,0.472,0,6755,17220,0.015,0.368,0
University of Mary Hardin-Baylor,0.102,0.257,0.411,1035,6940,22638,0.128,0.42,0
Beis Medrash Heichal Dovid,0,0.258,0.244,0,0,9149,0,1,0
Art Center College of Design,0.083,0.258,0.374,0,7579,40698,0,0.632,0
The Art Institute of Philadelphia,0.201,0.258,0.598,0,9359,26935,0.16,0.467,0
Westwood College-O'Hare Airport,0.225,0.258,0.894,0,16145,26700,0.117,0.479,0
DeVry University-Washington,0.234,0.258,0.61,0,7323,25311,0.529,0.817,0
Clear Creek Baptist Bible College,0,0.261,0.857,0,10200,5149,0,1,0
ITT Technical Institute-Tempe,0.292,0.261,0.684,0,8353,23372,0.426,0.743,0
Southwestern Assemblies of God University,0.117,0.262,0.556,0,6294,21281,0,0.318,0
Strayer University-Virginia,0.152,0.262,0.078,0,2423,29735,0.262,1,0
University of Wisconsin-Eau Claire,0.032,0.263,0.26,1110,6229,12204,0.126,0.759,0
Columbia Southern University,0.079,0.263,0.659,0,7167,9724,0.218,1,0
South College,0.26,0.263,0.606,0,10719,26196,0.106,1,0
Southern Illinois University Carbondale,0.107,0.264,0.507,990,6898,13537,0.186,0.441,0
The Art Institute of Las Vegas,0.262,0.264,0.7,0,7633,23886,0.235,0.483,0
Minnesota School of Business-Richfield,0.128,0.267,0.69,0,9959,26427,0.04,1,0
Olivet College,0.129,0.267,0.482,970,7576,17748,0.133,0.74,0
Colegio Universitario de San Juan,0,0.268,0.782,0,0,3085,0.1,0.992,0
University of Connecticut-Tri-Campus,0.031,0.268,0.387,1015,5050,7396,0,0.548,0
New Hope Christian College,0.144,0.182,0.795,0,7808,11875,0,0.759,0
Brenau University,0.075,0.271,0.545,1005,7163,15874,0.041,0.338,0
Sam Houston State University,0.122,0.272,0.438,1000,6080,9516,0.083,0.865,0
Manhattan Christian College,0.056,0.273,0.368,0,4686,17476,0,1,0
Houston Baptist University,0.09,0.273,0.559,1090,6400,18064,0.18,0.385,0
Texas State University-San Marcos,0.101,0.274,0.375,1050,6262,10505,0.082,0.775,0
International Academy of Design and Technology-Orlando,0.268,0.275,0.714,0,7821,14341,0,1,0
Northern Illinois University,0.098,0.277,0.504,1010,7287,18552,0.142,0.525,0
The Art Institute of California-Argosy University Orange County,0.158,0.277,0.703,0,8266,24450,0.239,0.437,0
University of Saint Mary,0.09,0.28,0.515,970,5481,16188,0.06,0.553,0
The Art Institutes International-Minnesota,0.159,0.28,0.529,0,10082,25498,0.19,0.454,0
Herzing University-Madison,0.176,0.28,0.797,0,6366,17996,0.135,0.996,0
DeVry University-Pennsylvania,0.234,0.28,0.851,0,8003,26068,0.189,0.883,0
Maranatha Baptist Bible College,0.014,0.281,0.5,1010,5870,17464,0.079,0.754,0
Westwood College-Denver South,0.203,0.281,0.739,0,16495,21579,0.186,0.554,0
Davenport University,0.138,0.284,0.533,0,10120,17144,0.178,0.933,0
California College of the Arts,0.089,0.286,0.342,0,7223,31984,0,0.763,0
McNally Smith College of Music,0.141,0.286,0.441,0,9475,33840,0,0.624,0
Indiana University of Pennsylvania-Main Campus,0.084,0.287,0.375,980,7387,16344,0.073,0.602,0
Colorado Christian University,0.057,0.288,0.232,0,7185,24663,0.049,0.813,0
The Art Institute of Charlotte,0.23,0.288,0.807,0,6698,26462,0.091,0.983,0
Sanford-Brown College-Tysons Corner,0.316,0.288,0.88,0,8672,16484,0,1,0
St. Francis College,0.159,0.289,0.448,935,8615,12954,0.09,0.705,0
Central Penn College,0.175,0.291,0.781,0,7769,16282,0.133,0.435,0
The Art Institute of Fort Lauderdale,0.194,0.292,0.662,0,8345,24202,0.126,0.401,0
Calvary Bible College and Theological Seminary,0.055,0.293,0.633,950,6343,13106,0.04,0.827,0
Pennsylvania College of Technology,0.109,0.293,0.442,0,8197,19929,0.412,1,0
Washington Bible College-Capital Bible Seminary,0,0.294,0.546,0,7219,20285,0,0.971,0
University of Nebraska-Lincoln,0.047,0.294,0.237,1145,5504,13890,0.204,0.593,0
Mid-America Christian University,0.165,0.295,0.587,0,5183,18546,0.005,1,0
International Academy of Design and Technology-Henderson,0.268,0.295,0.892,0,8600,17376,0,1,0
